Title,Rating,Votes,Duration,Genre
1. Kraven the Hunter,5.5, (51K),2h 7m,Action
2. Twisters,6.5, (164K),2h 2m,Action
3. Gladiator II,6.5, (224K),2h 28m,Action
4. Sonic the Hedgehog 3,6.9, (56K),1h 50m,Action
5. Venom: The Last Dance,6.0, (113K),1h 50m,Action
6. Deadpool & Wolverine,7.6, (486K),2h 8m,Action
7. Dune: Part Two,8.5, (620K),2h 46m,Action
8. Pushpa: The Rule - Part 2,6.1, (55K),3h 21m,Action
9. Solo Leveling: ReAwakening,8.9, (10K),2h 1m,Action
10. The Ministry of Ungentlemanly Warfare,6.8, (133K),2h 2m,Action
11. Furiosa: A Mad Max Saga,7.5, (283K),2h 28m,Action
12. The Beekeeper,6.3, (155K),1h 45m,Action
13. Fight or Flight,6.4, (5.7K),1h 37m,Action
14. Civil War,7.0, (234K),1h 49m,Action
15. Borderlands,4.7, (47K),1h 41m,Action
16. Hellboy: The Crooked Man,4.5, (13K),1h 39m,Action
17. The Fall Guy,6.8, (219K),2h 6m,Action
18. Carry-On,6.5, (162K),1h 59m,Action
19. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),2h 14m,Action
20. Elevation,5.6, (21K),1h 31m,Action
21. The Count of Monte-Cristo,7.6, (33K),2h 58m,Action
22. Transformers One,7.6, (49K),1h 44m,Action
23. William Tell,5.7, (2.2K),2h 13m,Action
24. The Crow,4.7, (34K),1h 51m,Action
25. Madame Web,4.0, (100K),1h 56m,Action
26. Road House,6.2, (167K),2h 1m,Action
27. Rebel Ridge,6.8, (87K),2h 11m,Action
28. Damsel,6.1, (109K),1h 50m,Action
29. Red One,6.3, (139K),2h 3m,Action
30. Argylle,5.6, (92K),2h 19m,Action
31. Bad Boys: Ride or Die,6.5, (99K),1h 55m,Action
32. Marco,6.9, (21K),2h 25m,Action
33. Kingdom of the Planet of the Apes,6.9, (151K),2h 25m,Action
34. Freaky Tales,7.0, (616),1h 46m,Action
35. Godzilla x Kong: The New Empire,6.0, (121K),1h 55m,Action
36. Love Lies Bleeding,6.6, (56K),1h 44m,Action
37. The Killer's Game,5.8, (17K),1h 44m,Action
38. Homestead,5.3, (3.5K),1h 52m,Action
39. Land of Bad,6.6, (51K),1h 53m,Action
40. Old Guy,5.2, (2.1K),1h 34m,Action
41. Uglies,4.7, (32K),1h 40m,Action
42. Aftermath,5.1, (3.7K),1h 37m,Action
43. Thelma,7.0, (22K),1h 38m,Action
44. Monkey Man,6.8, (91K),2h 1m,Action
